epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,554.069,0.72719,0.81864,0.9796,0.93095,0.63001,0.65298,0.56302,0.56604,0.74609,0.89428,0.000848969,0.000848969,0.000848969
43,567.035,0.69392,0.7811,0.96296,0.94438,0.6321,0.65899,0.56739,0.5854,0.73195,0.89417,0.000834822,0.000834822,0.000834822
44,579.634,0.70242,0.78177,0.94884,0.94438,0.6321,0.65899,0.56739,0.5854,0.73195,0.89417,0.000820675,0.000820675,0.000820675
45,592.716,0.77268,0.79238,0.96007,0.95022,0.63749,0.65837,0.56971,0.57219,0.68295,0.88389,0.000806528,0.000806528,0.000806528
46,605.479,0.70338,0.7977,0.94877,0.95022,0.63749,0.65837,0.56971,0.57219,0.68295,0.88389,0.00079238,0.00079238,0.00079238
47,618.362,0.63539,0.73974,0.92244,0.95359,0.64279,0.65454,0.57636,0.53369,0.6489,0.87007,0.000778233,0.000778233,0.000778233
48,631.198,0.68985,0.75799,0.95182,0.95359,0.64279,0.65454,0.57636,0.53369,0.6489,0.87007,0.000764086,0.000764086,0.000764086
49,644.277,0.68547,0.72531,0.9213,0.95352,0.63874,0.653,0.57387,0.53742,0.64284,0.86284,0.000749939,0.000749939,0.000749939
50,657.158,0.71473,0.72723,0.9442,0.95352,0.63874,0.653,0.57387,0.53742,0.64284,0.86284,0.000735792,0.000735792,0.000735792
51,670.113,0.68225,0.76325,0.92724,0.95696,0.64319,0.65511,0.57425,0.53155,0.62713,0.86004,0.000721645,0.000721645,0.000721645
52,682.599,0.67011,0.75386,0.9521,0.95696,0.64319,0.65511,0.57425,0.53155,0.62713,0.86004,0.000707498,0.000707498,0.000707498
53,695.788,0.69626,0.73831,0.92567,0.96584,0.64139,0.65606,0.58125,0.51089,0.6046,0.8561,0.000693351,0.000693351,0.000693351
54,708.502,0.63482,0.77664,0.95158,0.96584,0.64139,0.65606,0.58125,0.51089,0.6046,0.8561,0.000679204,0.000679204,0.000679204
55,721.384,0.64197,0.70006,0.91925,0.96206,0.64661,0.66318,0.58288,0.52179,0.59231,0.86134,0.000665057,0.000665057,0.000665057
56,734.231,0.66196,0.67761,0.92088,0.96206,0.64661,0.66318,0.58288,0.52179,0.59231,0.86134,0.000650909,0.000650909,0.000650909
57,747.001,0.6242,0.65019,0.91028,0.97448,0.64064,0.66555,0.58918,0.52414,0.58838,0.86363,0.000636762,0.000636762,0.000636762
58,760.048,0.68856,0.73622,0.94059,0.97448,0.64064,0.66555,0.58918,0.52414,0.58838,0.86363,0.000622615,0.000622615,0.000622615
59,772.796,0.62046,0.67658,0.91975,0.97563,0.6381,0.66806,0.59882,0.48753,0.57517,0.85642,0.000608468,0.000608468,0.000608468
60,785.399,0.62576,0.67693,0.92011,0.97563,0.6381,0.66806,0.59882,0.48753,0.57517,0.85642,0.000594321,0.000594321,0.000594321
61,798.146,0.62527,0.65592,0.92338,0.97061,0.64675,0.66864,0.60152,0.47702,0.57989,0.85036,0.000580174,0.000580174,0.000580174
62,811.115,0.6409,0.67753,0.92146,0.97061,0.64675,0.66864,0.60152,0.47702,0.57989,0.85036,0.000566027,0.000566027,0.000566027
63,823.897,0.63746,0.67415,0.92284,0.97298,0.64619,0.6692,0.60193,0.47461,0.5856,0.84506,0.00055188,0.00055188,0.00055188
64,836.434,0.60424,0.66826,0.9189,0.97298,0.64619,0.6692,0.60193,0.47461,0.5856,0.84506,0.000537733,0.000537733,0.000537733
65,849.13,0.58405,0.65296,0.91677,0.97216,0.64787,0.67259,0.60763,0.46792,0.58628,0.84362,0.000523586,0.000523586,0.000523586
66,861.948,0.62048,0.69836,0.91675,0.97216,0.64787,0.67259,0.60763,0.46792,0.58628,0.84362,0.000509438,0.000509438,0.000509438
67,874.754,0.57602,0.64182,0.91277,0.97234,0.65056,0.67632,0.6098,0.46238,0.57856,0.83923,0.000495291,0.000495291,0.000495291
68,887.502,0.60913,0.64979,0.90875,0.97234,0.65056,0.67632,0.6098,0.46238,0.57856,0.83923,0.000481144,0.000481144,0.000481144
69,900.438,0.58375,0.62562,0.91853,0.97131,0.65134,0.67425,0.61034,0.45684,0.5673,0.83925,0.000466997,0.000466997,0.000466997
70,913.417,0.61201,0.66375,0.91112,0.97131,0.65134,0.67425,0.61034,0.45684,0.5673,0.83925,0.00045285,0.00045285,0.00045285
71,926.197,0.65584,0.85746,0.95781,0.97516,0.64896,0.67184,0.61146,0.44986,0.5614,0.84054,0.000438703,0.000438703,0.000438703
72,938.76,0.56362,0.64609,0.92368,0.97516,0.64896,0.67184,0.61146,0.44986,0.5614,0.84054,0.000424556,0.000424556,0.000424556
73,951.759,0.56393,0.61959,0.89863,0.97964,0.64489,0.67298,0.61243,0.45299,0.55809,0.8434,0.000410409,0.000410409,0.000410409
74,964.555,0.59395,0.62544,0.87917,0.97964,0.64489,0.67298,0.61243,0.45299,0.55809,0.8434,0.000396262,0.000396262,0.000396262
75,977.836,0.59181,0.62416,0.89262,0.97939,0.64771,0.66854,0.6109,0.44367,0.54926,0.84045,0.000382115,0.000382115,0.000382115
76,990.565,0.55247,0.67843,0.90988,0.97939,0.64771,0.66854,0.6109,0.44367,0.54926,0.84045,0.000367967,0.000367967,0.000367967
77,1003.55,0.58636,0.66735,0.92038,0.97265,0.6537,0.66663,0.61171,0.43339,0.53998,0.83825,0.00035382,0.00035382,0.00035382
78,1016.45,0.56918,0.62509,0.90863,0.97265,0.6537,0.66663,0.61171,0.43339,0.53998,0.83825,0.000339673,0.000339673,0.000339673
79,1029.28,0.55546,0.61573,0.89339,0.97897,0.65106,0.66492,0.6132,0.43106,0.53417,0.83639,0.000325526,0.000325526,0.000325526
80,1042.17,0.58076,0.64731,0.90926,0.97897,0.65106,0.66492,0.6132,0.43106,0.53417,0.83639,0.000311379,0.000311379,0.000311379
81,1055.2,0.57264,0.61375,0.89421,0.97791,0.6502,0.66503,0.61419,0.42545,0.53026,0.83343,0.000297232,0.000297232,0.000297232
82,1068.15,0.58997,0.67534,0.90157,0.97791,0.6502,0.66503,0.61419,0.42545,0.53026,0.83343,0.000283085,0.000283085,0.000283085
83,1081.18,0.53522,0.60285,0.88568,0.97897,0.6543,0.66518,0.61502,0.4245,0.52678,0.82989,0.000268938,0.000268938,0.000268938
84,1093.82,0.54174,0.66166,0.90715,0.97897,0.6543,0.66518,0.61502,0.4245,0.52678,0.82989,0.000254791,0.000254791,0.000254791
85,1106.79,0.61756,0.64077,0.90121,0.97863,0.65488,0.66552,0.61747,0.41732,0.52541,0.82733,0.000240644,0.000240644,0.000240644
86,1120.03,0.60847,0.69552,0.91358,0.97863,0.65488,0.66552,0.61747,0.41732,0.52541,0.82733,0.000226497,0.000226497,0.000226497
87,1132.77,0.55052,0.61163,0.89923,0.97923,0.65446,0.66589,0.61833,0.41155,0.52642,0.82564,0.000212349,0.000212349,0.000212349
88,1145.41,0.52438,0.58701,0.8668,0.97923,0.65446,0.66589,0.61833,0.41155,0.52642,0.82564,0.000198202,0.000198202,0.000198202
89,1158.06,0.51419,0.57355,0.89283,0.97778,0.65458,0.66803,0.62025,0.40947,0.52906,0.82475,0.000184055,0.000184055,0.000184055
90,1170.75,0.53205,0.59071,0.88453,0.97778,0.65458,0.66803,0.62025,0.40947,0.52906,0.82475,0.000169908,0.000169908,0.000169908
91,1183.16,0.49906,0.76144,0.88115,0.97829,0.65371,0.66722,0.62043,0.41016,0.52525,0.82491,0.000155761,0.000155761,0.000155761
92,1195.27,0.522,0.83616,0.86434,0.97829,0.65371,0.66722,0.62043,0.41016,0.52525,0.82491,0.000141614,0.000141614,0.000141614
93,1207.61,0.54313,0.78844,0.88434,0.98263,0.64782,0.66397,0.61651,0.41514,0.51743,0.82555,0.000127467,0.000127467,0.000127467
94,1219.73,0.52171,0.76666,0.87177,0.98263,0.64782,0.66397,0.61651,0.41514,0.51743,0.82555,0.00011332,0.00011332,0.00011332
95,1232.03,0.5034,0.78253,0.88722,0.98286,0.64771,0.66229,0.61379,0.41915,0.51822,0.82652,9.91726e-05,9.91726e-05,9.91726e-05
96,1244.17,0.53799,0.73536,0.893,0.98286,0.64771,0.66229,0.61379,0.41915,0.51822,0.82652,8.50255e-05,8.50255e-05,8.50255e-05
97,1256.57,0.51171,0.76006,0.85603,0.98331,0.64407,0.66198,0.61236,0.42078,0.52236,0.82783,7.08784e-05,7.08784e-05,7.08784e-05
98,1268.69,0.46804,0.67015,0.85917,0.98331,0.64407,0.66198,0.61236,0.42078,0.52236,0.82783,5.67313e-05,5.67313e-05,5.67313e-05
99,1281.18,0.532,0.72662,0.86815,0.97601,0.64877,0.66149,0.61089,0.42246,0.52723,0.82865,4.25842e-05,4.25842e-05,4.25842e-05
100,1293.4,0.5258,0.84367,0.87577,0.97601,0.64877,0.66149,0.61089,0.42246,0.52723,0.82865,2.84371e-05,2.84371e-05,2.84371e-05
